branch,order_id,order_dt,category,menu,sweet_level,price,cost,qty,revenue,gross_profit,gross_margin,trans_type,payment,gender,membership,member_id
beta,beta034272,2023-10-23 19:59:00,smoothie,Strawberry Smoothie,0.5,85,25.5,1,85,59.5,0.7,to go,mobile,F,True,469.0
alpha,alpha025898,2023-10-24 15:23:00,tea,Yuzu Tea,0.25,70,24.5,3,210,136.5,0.65,delivery,mobile,M,True,376.0
alpha,alpha026101,2023-10-26 12:56:00,coffee,Mocha,0.25,70,28.0,1,70,42.0,0.6,delivery,mobile,M,True,680.0
alpha,alpha026176,2023-10-26 20:02:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,eat in,credit card,M,False,
alpha,alpha026293,2023-10-27 16:23:00,tea,Thai Tea,1.0,70,17.5,2,140,105.0,0.75,to go,credit card,M,True,350.0
beta,beta034976,2023-10-28 19:29:00,tea,Bubble Tea,0.0,70,17.5,1,70,52.5,0.75,eat in,credit card,F,True,334.0
alpha,alpha026388,2023-10-29 15:08:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,mobile,F,False,
beta,beta035347,2023-10-31 14:32:00,tea,Green Tea,0.25,65,19.5,1,65,45.5,0.7,to go,cash,F,True,1256.0
alpha,alpha026648,2023-10-31 18:52:00,bakery,Cookie,,85,29.75,5,425,276.25,0.65,to go,credit card,F,False,
alpha,alpha026774,2023-11-02 10:48:00,coffee,Iced Americano,1.0,45,13.5,1,45,31.5,0.7,to go,mobile,F,False,
beta,beta035602,2023-11-02 12:47:00,tea,Jasmine Tea,0.25,55,11.0,1,55,44.0,0.8,delivery,mobile,F,True,1271.0
alpha,alpha026793,2023-11-02 13:25:00,smoothie,Mango Smoothie,0.0,90,31.5,1,90,58.5,0.65,eat in,mobile,M,False,
alpha,alpha026878,2023-11-03 08:48:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,False,
alpha,alpha026912,2023-11-03 11:55:00,coffee,Iced Latte,0.5,65,19.5,3,195,136.5,0.7,delivery,credit card,M,False,
alpha,alpha027077,2023-11-05 16:32:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,credit card,F,False,
alpha,alpha027131,2023-11-06 12:54:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,M,False,
beta,beta036267,2023-11-07 15:52:00,tea,Jasmine Tea,0.0,55,11.0,3,165,132.0,0.8,eat in,mobile,M,True,1264.0
beta,beta036539,2023-11-09 16:47:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,to go,mobile,M,True,217.0
beta,beta036688,2023-11-10 16:00:00,coffee,Iced Latte,0.5,65,19.5,1,65,45.5,0.7,eat in,mobile,F,True,1292.0
beta,beta036702,2023-11-10 17:04:00,tea,Thai Tea,0.75,70,17.5,3,210,157.5,0.75,to go,gift card,F,True,509.0
beta,beta036752,2023-11-11 09:56:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,to go,mobile,F,True,1000.0
beta,beta036805,2023-11-11 16:49:00,smoothie,Strawberry Smoothie,0.5,85,25.5,1,85,59.5,0.7,to go,credit card,F,True,1440.0
alpha,alpha027701,2023-11-11 16:57:00,coffee,Mocha,0.25,70,28.0,1,70,42.0,0.6,delivery,mobile,F,False,
beta,beta036857,2023-11-12 14:30:00,tea,Yuzu Tea,0.75,70,24.5,2,140,91.0,0.65,to go,mobile,M,True,915.0
beta,beta037109,2023-11-14 10:27:00,tea,Bubble Tea,0.25,70,17.5,2,140,105.0,0.75,to go,credit card,F,True,478.0
beta,beta037190,2023-11-14 16:42:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,to go,mobile,F,True,1396.0
alpha,alpha028012,2023-11-15 10:57:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,cash,F,False,
alpha,alpha028035,2023-11-15 15:18:00,smoothie,Mango Smoothie,0.5,90,31.5,1,90,58.5,0.65,to go,mobile,F,True,1360.0
alpha,alpha028077,2023-11-16 08:40:00,coffee,Nitro Flat White,0.75,155,69.75,1,155,85.25,0.55,to go,mobile,M,False,
beta,beta037613,2023-11-17 08:43:00,coffee,Espresso,0.5,55,19.25,1,55,35.75,0.65,delivery,mobile,M,True,697.0
alpha,alpha028284,2023-11-17 16:30:00,coffee,Latte,0.5,65,26.0,1,65,39.0,0.6,to go,mobile,M,False,
beta,beta037755,2023-11-17 17:16:00,coffee,Latte,0.5,65,26.0,1,65,39.0,0.6,to go,mobile,M,True,1052.0
alpha,alpha028304,2023-11-17 19:35:00,coffee,Iced Americano,0.5,45,13.5,3,135,94.5,0.7,delivery,cash,M,False,
alpha,alpha028358,2023-11-19 14:50:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,delivery,credit card,M,True,845.0
alpha,alpha028361,2023-11-19 15:52:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,credit card,F,True,183.0
alpha,alpha028413,2023-11-20 10:34:00,smoothie,Mango Smoothie,1.0,90,31.5,3,270,175.5,0.65,to go,credit card,F,True,415.0
beta,beta038372,2023-11-22 17:14:00,coffee,Iced Latte,1.0,65,19.5,5,325,227.5,0.7,to go,mobile,F,False,
beta,beta038399,2023-11-22 21:25:00,coffee,Iced Latte,0.75,65,19.5,1,65,45.5,0.7,to go,mobile,F,True,159.0
beta,beta038483,2023-11-23 15:03:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,to go,mobile,M,True,1541.0
beta,beta038730,2023-11-24 19:17:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,M,True,618.0
beta,beta038872,2023-11-26 18:18:00,smoothie,Watermelon Smoothie,0.75,75,30.0,1,75,45.0,0.6,to go,mobile,F,False,
beta,beta039104,2023-11-28 09:33:00,tea,Black Tea,0.25,45,9.0,1,45,36.0,0.8,to go,cash,M,True,1104.0
alpha,alpha029256,2023-11-28 13:01:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,mobile,F,False,
alpha,alpha029261,2023-11-28 13:29:00,tea,Green Tea,1.0,65,19.5,3,195,136.5,0.7,delivery,credit card,M,False,
alpha,alpha029380,2023-11-29 14:38:00,bakery,Cheesecake,,120,72.0,3,360,144.0,0.4,to go,cash,F,True,1066.0
beta,beta039444,2023-11-30 10:48:00,smoothie,Strawberry Smoothie,0.5,85,25.5,1,85,59.5,0.7,eat in,mobile,F,True,1113.0
alpha,alpha029492,2023-11-30 14:41:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,to go,credit card,M,True,1393.0
beta,beta039496,2023-11-30 14:48:00,smoothie,Strawberry Smoothie,0.5,85,25.5,1,85,59.5,0.7,eat in,mobile,F,True,539.0
alpha,alpha029501,2023-11-30 15:23:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,to go,cash,F,True,737.0
alpha,alpha029645,2023-12-01 15:15:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,mobile,F,False,
beta,beta039671,2023-12-01 15:32:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,True,1436.0
alpha,alpha029668,2023-12-01 16:49:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,credit card,F,False,
alpha,alpha029750,2023-12-02 19:50:00,tea,Thai Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,credit card,F,True,1624.0
alpha,alpha030054,2023-12-06 19:07:00,coffee,Mocha,0.25,70,28.0,2,140,84.0,0.6,delivery,credit card,F,True,1497.0
beta,beta040118,2023-12-07 07:06:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,to go,mobile,M,True,184.0
beta,beta040152,2023-12-07 12:02:00,coffee,Iced Latte,0.0,65,19.5,1,65,45.5,0.7,to go,cash,M,True,35.0
alpha,alpha030278,2023-12-08 14:35:00,smoothie,Watermelon Smoothie,0.25,75,30.0,3,225,135.0,0.6,to go,credit card,F,True,972.0
beta,beta040301,2023-12-08 15:02:00,coffee,Espresso,0.5,55,19.25,3,165,107.25,0.65,to go,mobile,F,True,347.0
beta,beta040339,2023-12-08 17:57:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,credit card,M,True,594.0
beta,beta040370,2023-12-08 21:52:00,coffee,Iced Latte,0.5,65,19.5,1,65,45.5,0.7,delivery,mobile,M,False,
alpha,alpha030511,2023-12-12 13:58:00,coffee,Mocha Cold Brew,0.5,165,74.25,1,165,90.75,0.55,to go,credit card,F,False,
beta,beta040621,2023-12-13 10:16:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,to go,mobile,F,True,1309.0
beta,beta040657,2023-12-13 12:58:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,credit card,M,False,
beta,beta040823,2023-12-14 18:16:00,coffee,Mocha,0.25,70,28.0,4,280,168.0,0.6,to go,mobile,F,True,1308.0
beta,beta040876,2023-12-15 10:19:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,to go,mobile,F,True,1426.0
beta,beta040971,2023-12-15 18:56:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,F,True,903.0
beta,beta040973,2023-12-15 19:11:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,F,True,1163.0
alpha,alpha031085,2023-12-18 11:41:00,smoothie,Kiwi Smoothie,1.0,90,40.5,2,180,99.0,0.55,to go,credit card,M,False,
alpha,alpha031104,2023-12-18 13:28:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,credit card,M,True,836.0
alpha,alpha031108,2023-12-18 13:50:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,F,False,
alpha,alpha031126,2023-12-18 15:19:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,M,False,
beta,beta041208,2023-12-18 17:17:00,tea,Black Tea,0.75,45,9.0,2,90,72.0,0.8,delivery,mobile,M,True,802.0
alpha,alpha031179,2023-12-18 20:21:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,delivery,mobile,F,False,
beta,beta041239,2023-12-19 07:42:00,coffee,Iced Latte,0.25,65,19.5,1,65,45.5,0.7,delivery,mobile,F,True,1127.0
alpha,alpha031278,2023-12-19 15:45:00,tea,Bubble Tea,0.75,70,17.5,2,140,105.0,0.75,delivery,credit card,M,True,843.0
beta,beta041351,2023-12-19 19:25:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,eat in,mobile,F,False,
alpha,alpha031328,2023-12-19 20:46:00,coffee,Iced Americano,0.0,45,13.5,1,45,31.5,0.7,to go,mobile,F,False,
beta,beta041535,2023-12-21 16:37:00,bakery,Croissant,,85,46.75000000000001,3,255,114.74999999999996,0.4499999999999999,eat in,mobile,M,False,
alpha,alpha031691,2023-12-23 10:45:00,smoothie,Kiwi Smoothie,0.75,90,40.5,1,90,49.5,0.55,eat in,credit card,F,False,
beta,beta041807,2023-12-24 18:24:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,mobile,F,True,1520.0
alpha,alpha031847,2023-12-25 16:24:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,to go,credit card,M,False,
beta,beta041942,2023-12-25 18:56:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,to go,mobile,M,True,290.0
alpha,alpha031900,2023-12-26 07:16:00,smoothie,Watermelon Smoothie,0.25,75,30.0,1,75,45.0,0.6,eat in,mobile,F,False,
alpha,alpha031959,2023-12-26 13:47:00,smoothie,Mango Smoothie,0.0,90,31.5,3,270,175.5,0.65,to go,mobile,F,False,
beta,beta042110,2023-12-27 09:52:00,coffee,Americano,1.0,45,13.5,1,45,31.5,0.7,to go,mobile,M,False,
beta,beta042215,2023-12-28 11:50:00,smoothie,Strawberry Smoothie,0.75,85,25.5,1,85,59.5,0.7,eat in,mobile,M,True,32.0
beta,beta042296,2023-12-28 20:05:00,smoothie,Kiwi Smoothie,0.75,90,40.5,2,180,99.0,0.55,to go,mobile,F,True,735.0
alpha,alpha032262,2023-12-29 09:10:00,smoothie,Mango Smoothie,0.75,90,31.5,3,270,175.5,0.65,to go,credit card,M,True,457.0
alpha,alpha032306,2023-12-29 15:35:00,coffee,Iced Latte,0.75,65,19.5,7,455,318.5,0.7,to go,credit card,F,False,
alpha,alpha032323,2023-12-29 18:29:00,tea,Green Tea,0.0,65,19.5,3,195,136.5,0.7,to go,mobile,F,True,1098.0
alpha,alpha032383,2023-12-31 17:03:00,tea,Green Tea,0.25,65,19.5,5,325,227.5,0.7,delivery,credit card,F,True,582.0
alpha,alpha032397,2024-01-01 09:15:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,credit card,F,False,
beta,beta042498,2024-01-02 11:31:00,tea,Jasmine Tea,0.75,50,10.0,2,100,80.0,0.8,to go,mobile,M,True,848.0
beta,beta042583,2024-01-02 18:24:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,M,True,1695.0
alpha,alpha032770,2024-01-04 18:19:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,F,False,
alpha,alpha032970,2024-01-08 08:09:00,tea,Thai Tea,0.5,70,17.5,4,280,210.0,0.75,delivery,mobile,M,True,19.0
beta,beta043652,2024-01-09 10:02:00,tea,Black Tea,0.75,40,8.0,1,40,32.0,0.8,eat in,mobile,F,True,881.0
beta,beta043674,2024-01-09 12:05:00,tea,Green Tea,0.25,65,24.7,1,65,40.3,0.62,eat in,mobile,F,True,1669.0
beta,beta043684,2024-01-09 12:36:00,tea,Green Tea,1.0,65,24.7,1,65,40.3,0.62,to go,mobile,F,True,1652.0
alpha,alpha033295,2024-01-10 16:48:00,coffee,Nitro Flat White,0.0,155,74.39999999999999,3,465,241.8,0.52,to go,credit card,F,False,
alpha,alpha033367,2024-01-11 13:29:00,coffee,Mocha,0.0,70,30.1,5,350,199.50000000000003,0.5700000000000001,to go,cash,M,True,25.0
beta,beta044130,2024-01-11 18:30:00,tea,Bubble Tea,0.5,70,17.5,3,210,157.5,0.75,eat in,credit card,F,True,891.0
alpha,alpha033441,2024-01-12 08:37:00,coffee,Latte,0.25,65,27.95,2,130,74.1,0.57,to go,credit card,F,True,69.0
alpha,alpha033464,2024-01-12 11:48:00,coffee,Nitro Flat White,0.25,155,74.39999999999999,1,155,80.60000000000001,0.52,to go,mobile,M,False,
alpha,alpha033497,2024-01-12 15:35:00,coffee,Mocha,0.25,70,30.1,6,420,239.40000000000003,0.5700000000000001,to go,credit card,F,True,1679.0
alpha,alpha033551,2024-01-13 06:20:00,tea,Yuzu Tea,0.0,70,24.5,1,70,45.5,0.65,eat in,credit card,M,True,1644.0
beta,beta044430,2024-01-15 08:37:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,delivery,gift card,F,False,
alpha,alpha033613,2024-01-15 10:30:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,cash,F,False,
beta,beta044596,2024-01-16 08:17:00,bakery,Cookie,,85,29.75,4,340,221.0,0.65,delivery,mobile,M,True,1658.0
alpha,alpha033758,2024-01-16 09:42:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,mobile,F,False,
beta,beta044696,2024-01-16 15:31:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,64.0
beta,beta045237,2024-01-19 18:44:00,tea,Jasmine Tea,1.0,50,10.0,1,50,40.0,0.8,to go,mobile,F,False,
beta,beta045314,2024-01-20 13:57:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,delivery,mobile,M,True,
alpha,alpha034232,2024-01-20 20:36:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,gift card,M,False,
beta,beta045428,2024-01-21 19:38:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,True,1682.0
alpha,alpha034312,2024-01-22 13:31:00,coffee,Iced Latte,0.25,65,22.75,3,195,126.75,0.65,delivery,credit card,F,False,
alpha,alpha034347,2024-01-22 16:16:00,coffee,Mocha,0.0,70,30.1,1,70,39.900000000000006,0.5700000000000001,to go,mobile,F,False,
alpha,alpha034636,2024-01-25 11:37:00,tea,Black Tea,0.25,40,8.0,1,40,32.0,0.8,delivery,credit card,M,True,44.0
beta,beta046205,2024-01-26 09:55:00,coffee,Latte,0.0,65,27.95,1,65,37.05,0.57,to go,mobile,M,True,1671.0
alpha,alpha034762,2024-01-26 11:45:00,smoothie,Kiwi Smoothie,0.75,90,40.5,3,270,148.5,0.55,eat in,credit card,F,False,
beta,beta046268,2024-01-26 13:33:00,tea,Jasmine Tea,0.25,50,10.0,1,50,40.0,0.8,to go,credit card,M,True,876.0
beta,beta046301,2024-01-26 15:10:00,coffee,Cappuccino,1.0,75,27.75,2,150,94.5,0.63,eat in,mobile,F,True,41.0
beta,beta046566,2024-01-29 08:30:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,F,False,
beta,beta046612,2024-01-29 11:04:00,bakery,Cheesecake,,120,72.0,3,360,144.0,0.4,to go,mobile,F,True,865.0
alpha,alpha034986,2024-01-29 16:11:00,bakery,Muffin,,60,27.0,3,180,99.0,0.55,eat in,mobile,M,True,39.0
beta,beta046716,2024-01-29 17:26:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,F,True,863.0
alpha,alpha035017,2024-01-29 19:24:00,coffee,Nitro Flat White,0.25,155,74.39999999999999,3,465,241.8,0.52,delivery,credit card,F,False,
beta,beta046775,2024-01-30 09:06:00,smoothie,Strawberry Smoothie,0.25,85,25.5,1,85,59.5,0.7,to go,mobile,F,True,1672.0
alpha,alpha035042,2024-01-30 09:16:00,tea,Green Tea,0.75,65,24.7,2,130,80.6,0.62,eat in,mobile,M,True,876.0
alpha,alpha035107,2024-01-30 16:11:00,coffee,Iced Americano,0.0,45,13.5,1,45,31.5,0.7,to go,cash,M,False,
beta,beta046918,2024-01-30 17:31:00,coffee,Latte,0.5,65,27.95,1,65,37.05,0.57,to go,cash,M,True,1668.0
beta,beta047093,2024-01-31 16:46:00,coffee,Mocha,0.5,70,30.1,1,70,39.900000000000006,0.5700000000000001,to go,mobile,F,True,874.0
alpha,alpha035338,2024-02-01 19:06:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,to go,mobile,F,True,1769.0
alpha,alpha035346,2024-02-01 20:43:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,M,True,878.0
beta,beta047639,2024-02-04 12:33:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,mobile,M,True,1676.0
alpha,alpha035605,2024-02-05 15:13:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,to go,mobile,F,True,912.0
beta,beta047819,2024-02-05 15:18:00,tea,Jasmine Tea,0.75,50,10.0,1,50,40.0,0.8,to go,mobile,M,True,1753.0
beta,beta047944,2024-02-06 09:33:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,delivery,mobile,F,True,
beta,beta047954,2024-02-06 10:14:00,tea,Jasmine Tea,0.5,50,10.0,2,100,80.0,0.8,eat in,mobile,F,True,21.0
beta,beta047973,2024-02-06 11:53:00,coffee,Iced Latte,0.75,65,22.75,3,195,126.75,0.65,to go,mobile,M,True,1680.0
alpha,alpha035748,2024-02-06 17:03:00,tea,Green Tea,0.75,65,24.7,1,65,40.3,0.62,to go,cash,M,False,
alpha,alpha035750,2024-02-06 17:30:00,coffee,Americano,0.25,45,14.4,1,45,30.6,0.68,to go,credit card,F,True,
beta,beta048132,2024-02-07 10:35:00,tea,Green Tea,0.0,65,24.7,3,195,120.9,0.62,delivery,gift card,M,True,103.0
alpha,alpha035931,2024-02-08 13:05:00,tea,Black Tea,0.25,40,8.0,2,80,64.0,0.8,delivery,credit card,F,True,1726.0
alpha,alpha035947,2024-02-08 15:11:00,tea,Thai Tea,0.25,70,17.5,3,210,157.5,0.75,eat in,credit card,M,True,32.0
beta,beta048394,2024-02-08 17:09:00,coffee,Iced Americano,0.25,45,13.5,3,135,94.5,0.7,eat in,mobile,F,True,4.0
beta,beta048443,2024-02-09 07:26:00,coffee,Mocha,0.75,70,30.1,1,70,39.900000000000006,0.5700000000000001,to go,mobile,F,True,863.0
beta,beta048543,2024-02-09 13:50:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,credit card,F,True,125.0
beta,beta048561,2024-02-09 15:25:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,mobile,M,True,
beta,beta048851,2024-02-12 11:29:00,smoothie,Kiwi Smoothie,0.5,90,40.5,1,90,49.5,0.55,to go,mobile,F,False,
beta,beta048966,2024-02-12 19:56:00,tea,Thai Tea,0.0,70,17.5,2,140,105.0,0.75,eat in,mobile,M,True,
alpha,alpha036368,2024-02-13 10:24:00,coffee,Latte,0.25,65,27.95,3,195,111.15,0.57,eat in,mobile,F,False,
alpha,alpha036469,2024-02-14 07:53:00,tea,Green Tea,0.5,65,24.7,3,195,120.9,0.62,eat in,mobile,M,False,
alpha,alpha036482,2024-02-14 09:29:00,tea,Black Tea,0.25,40,8.0,1,40,32.0,0.8,delivery,cash,F,False,
alpha,alpha036545,2024-02-14 17:47:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,delivery,mobile,F,False,
alpha,alpha036564,2024-02-15 08:17:00,coffee,Mocha,0.25,70,30.1,1,70,39.900000000000006,0.5700000000000001,delivery,credit card,F,False,
beta,beta049380,2024-02-15 12:37:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,to go,mobile,M,True,98.0
beta,beta049394,2024-02-15 13:38:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,mobile,F,True,1709.0
beta,beta049591,2024-02-16 16:56:00,tea,Green Tea,0.0,65,24.7,1,65,40.3,0.62,delivery,credit card,F,True,114.0
alpha,alpha036751,2024-02-16 17:29:00,coffee,Iced Latte,0.25,65,22.75,1,65,42.25,0.65,to go,credit card,M,True,929.0
alpha,alpha036767,2024-02-16 19:44:00,bakery,Croissant,,85,46.75000000000001,2,170,76.49999999999999,0.4499999999999999,to go,credit card,F,True,840.0
beta,beta049784,2024-02-18 15:40:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,mobile,F,True,850.0
alpha,alpha036978,2024-02-20 08:21:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,credit card,M,False,
beta,beta050117,2024-02-20 14:36:00,smoothie,Mango Smoothie,0.0,90,31.5,1,90,58.5,0.65,to go,mobile,M,True,47.0
alpha,alpha037109,2024-02-21 08:49:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,credit card,F,True,136.0
alpha,alpha037254,2024-02-22 15:45:00,coffee,Iced Latte,0.5,65,22.75,1,65,42.25,0.65,delivery,mobile,M,True,1661.0
beta,beta050507,2024-02-22 18:30:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,delivery,credit card,M,True,1728.0
alpha,alpha037317,2024-02-23 09:02:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,credit card,F,True,46.0
beta,beta050777,2024-02-25 09:59:00,tea,Jasmine Tea,0.5,50,10.0,1,50,40.0,0.8,eat in,mobile,F,True,856.0
alpha,alpha037527,2024-02-26 15:59:00,bakery,Cookie,,85,29.75,2,170,110.5,0.65,to go,credit card,F,False,
beta,beta051149,2024-02-28 15:10:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,credit card,M,True,1.0
beta,beta051284,2024-02-29 12:41:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,F,True,66.0
alpha,alpha037810,2024-02-29 16:00:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,90.0
beta,beta051467,2024-03-01 10:39:00,tea,Green Tea,0.5,65,24.7,2,130,80.6,0.62,delivery,mobile,M,True,210.0
alpha,alpha037917,2024-03-01 15:56:00,tea,Green Tea,0.75,65,24.7,1,65,40.3,0.62,to go,mobile,F,True,1034.0
alpha,alpha037942,2024-03-01 17:50:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,cash,F,False,
alpha,alpha037954,2024-03-01 19:33:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,delivery,credit card,M,True,56.0
alpha,alpha038040,2024-03-04 08:41:00,coffee,Mocha Cold Brew,0.75,165,79.2,1,165,85.8,0.52,eat in,mobile,F,False,
alpha,alpha038064,2024-03-04 10:18:00,tea,Jasmine Tea,0.25,50,10.0,1,50,40.0,0.8,to go,mobile,F,True,1700.0
alpha,alpha038244,2024-03-05 14:50:00,coffee,Americano,1.0,45,14.4,1,45,30.6,0.68,to go,mobile,F,False,
alpha,alpha038298,2024-03-05 19:45:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,eat in,credit card,F,True,1665.0
beta,beta052139,2024-03-06 09:29:00,coffee,Nitro Flat White,0.25,155,74.39999999999999,2,310,161.20000000000002,0.52,eat in,mobile,F,True,1716.0
alpha,alpha038353,2024-03-06 13:26:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,credit card,F,True,1757.0
alpha,alpha038419,2024-03-07 09:09:00,tea,Green Tea,0.75,65,24.7,1,65,40.3,0.62,delivery,credit card,F,False,
beta,beta052417,2024-03-07 19:24:00,tea,Jasmine Tea,0.5,50,10.0,1,50,40.0,0.8,delivery,mobile,F,True,1840.0
alpha,alpha038515,2024-03-08 09:41:00,tea,Yuzu Tea,0.5,70,24.5,2,140,91.0,0.65,delivery,mobile,F,False,
alpha,alpha038532,2024-03-08 11:20:00,smoothie,Watermelon Smoothie,0.25,75,30.0,1,75,45.0,0.6,delivery,mobile,F,False,
beta,beta052513,2024-03-08 14:17:00,coffee,Mocha Cold Brew,0.0,165,79.2,1,165,85.8,0.52,to go,mobile,F,True,81.0
beta,beta052616,2024-03-09 09:25:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,mobile,F,True,12.0
alpha,alpha038837,2024-03-12 09:21:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,cash,M,False,
beta,beta053108,2024-03-12 16:25:00,tea,Bubble Tea,0.0,70,17.5,3,210,157.5,0.75,eat in,credit card,M,True,137.0
beta,beta053155,2024-03-13 07:43:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,eat in,mobile,M,True,980.0
beta,beta053189,2024-03-13 10:52:00,tea,Jasmine Tea,0.25,50,10.0,1,50,40.0,0.8,eat in,mobile,M,True,1770.0
beta,beta053310,2024-03-14 08:45:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,mobile,M,True,845.0
alpha,alpha039067,2024-03-14 10:07:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,to go,credit card,F,True,927.0
beta,beta053453,2024-03-15 09:03:00,bakery,Cookie,,85,29.75,2,170,110.5,0.65,eat in,mobile,F,True,1814.0
beta,beta053660,2024-03-16 12:40:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,mobile,F,True,97.0
beta,beta053750,2024-03-17 12:08:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,mobile,F,False,
alpha,alpha039369,2024-03-18 13:44:00,tea,Green Tea,0.25,65,24.7,1,65,40.3,0.62,to go,cash,F,True,162.0
beta,beta053883,2024-03-18 14:49:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,F,True,10.0
beta,beta053889,2024-03-18 15:10:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,F,True,935.0
